"UNIT INFORMATION, 776 Super Units Found & 418 Extreme Units Found",,,,BASE STATS,,,,,,,55% NO DUPES STATS,,,,,,,100% RAINBOW STATS,,,,,
Character,Class,Type,,bHP,4.25,bATK,3.26,bDEF,4.43,,_55HP,4.12,_55ATK,3.15,_55DEF,4.20,,_100HP,3.90,_100ATK,2.99,_100DEF,3.74
EZA_Into the Final Phase Gogeta,Super,STR,,"9,230",-0.53,"10,887",0.36,"4,585",-0.64,,"10,430",-0.69,"12,087",0.12,"5,785",-0.91,,"12,230",-0.85,"14,127",-0.15,"7,345",-1.25
EZA_Storm of Terror Freeza (2nd Form),Extreme,PHY,,"7,645",-1.04,"9,076",-0.36,"4,321",-0.8,,"9,245",-1.04,"10,676",-0.41,"5,921",-0.83,,"11,645",-1.02,"13,076",-0.5,"8,321",-0.8
EZA_Tragedy Born From Power Fusion Android #13,Extreme,TEQ,,"11,966",0.33,"10,481",0.2,"5,786",0.08,,"13,166",0.14,"11,681",-0.03,"6,986",-0.25,,"14,726",-0.16,"13,721",-0.29,"8,786",-0.58
EZA_Invincible Battle Form Super Vegeta/Super Trunks,Super,STR,,"7,564",-1.06,"8,879",-0.44,"4,608",-0.63,,"9,164",-1.07,"10,479",-0.49,"6,208",-0.68,,"11,564",-1.04,"12,879",-0.57,"8,608",-0.66
EZA_Answers Found in Training Super Saiyan Goku/Super Saiyan Gohan (Youth),Super,TEQ,,"7,317",-1.14,"9,110",-0.35,"4,444",-0.72,,"8,917",-1.14,"10,710",-0.4,"6,044",-0.77,,"11,317",-1.11,"13,110",-0.49,"8,444",-0.74
EZA_Striking in Harmony Super Saiyan 2 Gohan (Youth),Super,STR,,"11,518",0.19,"11,340",0.55,"5,301",-0.21,,"13,518",0.25,"13,340",0.6,"7,301",-0.08,,"16,518",0.34,"16,740",0.73,"9,901",-0.06
EZA_To a New Future Super Saiyan Trunks (Future),Super,INT,,"10,336",-0.18,"9,711",-0.11,"5,597",-0.04,,"11,536",-0.35,"10,911",-0.32,"6,797",-0.35,,"13,336",-0.55,"12,711",-0.63,"8,597",-0.67
EZA_Daring Planetary Invasion Vegeta (Kid) & Raditz (Kid),Extreme,AGL,,"8,021",-0.92,"9,166",-0.33,"3,821",-1.09,,"9,621",-0.93,"10,766",-0.38,"5,421",-1.11,,"12,021",-0.91,"13,166",-0.47,"7,821",-1.03
EZA_First Friend Broly (Kid),Extreme,INT,,"7,861",-0.97,"9,328",-0.26,"3,700",-1.17,,"9,461",-0.98,"10,928",-0.32,"5,300",-1.17,,"11,861",-0.96,"13,328",-0.42,"7,700",-1.08
EZA_Ruthless Invader Raditz,Extreme,INT,,"7,548",-1.07,"11,404",0.57,"5,359",-0.18,,"8,748",-1.19,"12,604",0.32,"6,559",-0.48,,"10,548",-1.32,"14,404",-0.06,"8,359",-0.78
EZA_Rageful Erasure Freeza (Final Form),Extreme,INT,,"10,367",-0.17,"9,689",-0.12,"5,675",0.01,,"11,567",-0.34,"10,889",-0.33,"6,875",-0.31,,"13,367",-0.54,"12,689",-0.63,"8,675",-0.63
EZA_Almighty Cleave Cooler,Extreme,AGL,,"9,160",-0.56,"10,342",0.14,"6,365",0.42,,"10,360",-0.71,"11,542",-0.08,"7,565",0.07,,"11,920",-0.94,"13,342",-0.41,"9,605",-0.2
EZA_Namekian Mutation Lord Slug,Extreme,TEQ,,"12,370",0.46,"8,825",-0.47,"7,031",0.82,,"13,570",0.26,"10,025",-0.66,"8,231",0.43,,"15,130",-0.05,"12,065",-0.84,"10,031",0
EZA_Fusion Power of the Dynamic Duo Goku (Kaioken),Super,STR,,"8,974",-0.62,"10,658",0.27,"5,578",-0.05,,"10,174",-0.76,"11,858",0.04,"6,778",-0.36,,"11,974",-0.92,"13,898",-0.23,"8,338",-0.79
EZA_Magnificent Hunter Kakunsa,Super,AGL,,"9,547",-0.43,"10,632",0.26,"5,552",-0.06,,"10,747",-0.59,"11,832",0.03,"6,752",-0.38,,"12,307",-0.83,"13,632",-0.32,"8,792",-0.58
EZA_Master of the Yacchaina Fist Rozie,Super,INT,,"8,549",-0.75,"10,855",0.35,"5,774",0.07,,"9,749",-0.89,"12,055",0.11,"6,974",-0.26,,"11,549",-1.04,"13,855",-0.24,"8,774",-0.59
EZA_Charming Girl's Dance Super Ribrianne,Super,STR,,"12,491",0.5,"11,248",0.51,"5,823",0.1,,"13,690",0.3,"12,445",0.26,"7,023",-0.23,,"15,490",0.05,"14,485",-0.03,"8,583",-0.67
EZA_A Friend's Decision Hercule/Majin Buu (Good),Super,AGL,,"10,168",-0.24,"10,097",0.05,"5,106",-0.33,,"11,368",-0.4,"11,297",-0.18,"6,306",-0.62,,"12,928",-0.66,"13,097",-0.5,"8,346",-0.78
EZA_Resolve for the Final Battle Super Saiyan 3 Goku,Super,INT,,"9,543",-0.44,"10,304",0.13,"5,158",-0.3,,"10,743",-0.59,"11,504",-0.1,"6,358",-0.59,,"12,543",-0.77,"13,304",-0.43,"8,158",-0.87
EZA_Astonishing Reincarnation Uub (Youth),Super,PHY,,"10,481",-0.14,"9,179",-0.32,"6,095",0.26,,"11,681",-0.31,"10,379",-0.52,"7,295",-0.08,,"13,721",-0.44,"12,179",-0.81,"8,855",-0.55
EZA_The tiniest Top-Notch Hero Vegetto (Candy),Super,TEQ,,"7,641",-1.04,"10,470",0.2,"6,604",0.56,,"8,841",-1.17,"11,670",-0.04,"7,804",0.2,,"10,401",-1.36,"13,710",-0.29,"9,604",-0.2
EZA_Super Ghost Prank Super Saiyan Gotenks & Ghost,Super,INT,,"10,145",-0.24,"10,905",0.37,"4,808",-0.51,,"11,345",-0.41,"12,105",0.13,"6,008",-0.79,,"13,145",-0.6,"13,905",-0.23,"7,808",-1.03
EZA_Power Demonstrated in Clashes Bardock (Giant Ape),Super,AGL,,"12,974",0.65,"9,904",-0.03,"4,644",-0.6,,"14,174",0.45,"11,104",-0.25,"5,844",-0.88,,"15,734",0.12,"12,904",-0.56,"7,884",-1
EZA_Battle Expert Krillin,Super,STR,,"10,579",-0.11,"9,686",-0.12,"6,114",0.27,,"11,779",-0.28,"10,886",-0.33,"7,314",-0.07,,"13,579",-0.48,"12,926",-0.55,"8,874",-0.54
EZA_Teamwork Across Schools Master Roshi & Tien,Super,TEQ,,"9,537",-0.44,"11,109",0.45,"5,158",-0.3,,"10,737",-0.59,"12,309",0.21,"6,359",-0.59,,"12,297",-0.83,"14,349",-0.08,"8,158",-0.87
EZA_Power of a Perfectly Matched Couple Krillin & Android #18,Super,INT,,"10,092",-0.26,"10,932",0.38,"5,103",-0.33,,"11,292",-0.43,"12,132",0.14,"6,303",-0.62,,"13,092",-0.61,"13,932",-0.22,"8,103",-0.9
EZA_New Instinct of the Awakened One Goku (Ultra Instinct -Sign-),Super,PHY,,"10,097",-0.26,"10,637",0.26,"5,895",0.14,,"11,297",-0.42,"11,837",0.03,"7,095",-0.19,,"13,337",-0.55,"13,637",-0.32,"8,655",-0.64
EZA_Creeping Conspiracy Yamu & Spopovich,Extreme,AGL,,"10,376",-0.17,"10,804",0.33,"4,116",-0.92,,"11,576",-0.34,"12,004",0.09,"5,316",-1.16,,"13,136",-0.6,"13,804",-0.26,"7,356",-1.24
EZA_Hercule City's New Hero Gohan (Teen),Super,INT,,"7,877",-0.96,"10,430",0.18,"5,834",0.1,,"9,077",-1.09,"11,630",-0.05,"7,034",-0.22,,"10,877",-1.23,"13,430",-0.38,"8,834",-0.56
EZA_Saiyan Strike! Vegeta (Dokkan Butoden),Extreme,AGL,,"9,211",-0.54,"10,549",0.23,"7,874",1.32,,"10,811",-0.57,"12,149",0.15,"9,474",1.11,,"13,211",-0.58,"14,549",-0.01,"11,874",0.85
EZA_All-Out Showdown! Goku (Dokkan Butoden),Super,PHY,,"9,211",-0.54,"11,886",0.77,"6,537",0.52,,"10,811",-0.57,"13,486",0.65,"8,137",0.38,,"13,211",-0.58,"15,886",0.44,"10,537",0.23
EZA_Little Great Saiyaman of Mystery Trunks (Kid) (Great Saiyaman),Super,AGL,,"8,838",-0.66,"11,341",0.55,"4,917",-0.44,,"10,038",-0.8,"12,541",0.29,"6,117",-0.73,,"11,598",-1.03,"14,341",-0.08,"8,157",-0.87
EZA_Grand Tour Companion Giru,Super,INT,,"7,545",-1.07,"8,884",-0.44,"4,430",-0.73,,"9,145",-1.07,"10,484",-0.49,"6,030",-0.77,,"11,545",-1.04,"12,884",-0.57,"8,430",-0.75
EZA_Era-Spanning Kamekameka Grandpa Gohan & Pan (GT),Super,STR,,"9,761",-0.37,"10,584",0.24,"5,812",0.09,,"10,961",-0.53,"11,784",0.01,"7,012",-0.23,,"12,761",-0.71,"13,824",-0.25,"8,572",-0.68
EZA_Proof of Tough Trainings Super Saiyan Goku,Super,AGL,,"9,806",-0.35,"9,268",-0.29,"4,504",-0.69,,"11,006",-0.51,"10,468",-0.49,"5,704",-0.95,,"12,566",-0.76,"12,268",-0.78,"7,744",-1.06
EZA_Unwavering Will and Newfound Power Super Saiyan Goku,Super,INT,,"9,647",-0.4,"10,139",0.06,"5,314",-0.21,,"10,847",-0.56,"11,339",-0.16,"6,514",-0.51,,"12,647",-0.74,"13,139",-0.48,"8,314",-0.8
EZA_Shocking Contact Android #18,Extreme,STR,,"13,059",0.68,"10,528",0.22,"5,769",0.07,,"14,259",0.47,"11,728",-0.01,"6,969",-0.26,,"16,059",0.21,"13,768",-0.27,"8,529",-0.7
EZA_Brutal Bind Guldo,Extreme,TEQ,,"9,452",-0.46,"8,875",-0.45,"2,791",-1.71,,"11,052",-0.5,"10,475",-0.49,"4,391",-1.67,,"13,452",-0.51,"12,875",-0.57,"6,791",-1.51
EZA_Lethal Charge Recoome,Extreme,PHY,,"10,386",-0.17,"6,727",-1.31,"5,010",-0.39,,"11,986",-0.22,"8,327",-1.3,"6,610",-0.46,,"14,386",-0.25,"10,727",-1.29,"9,010",-0.48
EZA_Pride of the Fastest One,Extreme,AGL,,"8,830",-0.66,"8,533",-0.58,"3,530",-1.27,,"10,430",-0.69,"10,133",-0.62,"5,130",-1.27,,"12,830",-0.69,"12,533",-0.69,"7,530",-1.16
EZA_Pride of the Force Jeice,Extreme,STR,,"9,531",-0.44,"7,910",-0.83,"3,959",-1.01,,"11,131",-0.47,"9,510",-0.85,"5,559",-1.03,,"13,531",-0.49,"11,910",-0.9,"7,959",-0.96
EZA_Followers of His Ideals Zarbon & Dodoria,Extreme,TEQ,,"10,272",-0.2,"10,263",0.11,"4,845",-0.48,,"11,472",-0.37,"11,463",-0.11,"6,045",-0.76,,"13,032",-0.63,"13,503",-0.36,"7,845",-1.02
EZA_Strategy to Defeat the Emperor Krillin/Vegeta,Super,INT,,"9,230",-0.53,"10,596",0.25,"4,949",-0.42,,"10,430",-0.69,"11,796",0.01,"6,149",-0.71,,"12,230",-0.85,"13,596",-0.33,"7,949",-0.97
EZA_Courageous Clash Captain Ginyu,Extreme,INT,,"9,294",-0.51,"9,210",-0.31,"4,969",-0.41,,"10,894",-0.55,"10,810",-0.36,"6,569",-0.48,,"13,294",-0.56,"13,210",-0.46,"8,969",-0.5
EZA_Training and Refreshment Goku,Super,PHY,,"12,971",0.65,"10,710",0.29,"5,362",-0.18,,"14,171",0.45,"11,910",0.06,"6,562",-0.48,,"16,211",0.25,"13,710",-0.29,"8,122",-0.89
EZA_Power of Pride and Bonds Super Saiyan 2 Cabba,Super,TEQ,,"11,163",0.08,"9,569",-0.17,"6,014",0.21,,"12,363",-0.1,"10,769",-0.38,"7,214",-0.12,,"13,923",-0.38,"12,809",-0.59,"9,014",-0.47
EZA_First Step as a Warrior Super Saiyan 2 Kale,Super,INT,,"12,257",0.42,"9,229",-0.3,"6,750",0.65,,"13,457",0.23,"10,429",-0.51,"7,950",0.28,,"15,257",-0.01,"12,229",-0.79,"9,750",-0.13
EZA_Power for Securing Victory Super Saiyan 2 Caulifla,Super,STR,,"11,798",0.28,"9,687",-0.12,"6,405",0.44,,"12,998",0.09,"10,887",-0.33,"7,605",0.09,,"14,798",-0.14,"12,927",-0.55,"9,165",-0.4
EZA_Lethal Android Android #17 (Future),Extreme,TEQ,,"11,520",0.19,"9,888",-0.04,"4,689",-0.58,,"12,720",0.01,"11,088",-0.26,"5,889",-0.85,,"14,280",-0.28,"13,128",-0.49,"7,689",-1.09
EZA_Destructive Android Android #18 (Future),Extreme,STR,,"11,834",0.29,"8,804",-0.47,"5,887",0.14,,"13,034",0.1,"10,004",-0.67,"7,087",-0.19,,"14,834",-0.13,"12,044",-0.85,"8,647",-0.64
EZA_Ruthless Android Android #13,Extreme,STR,,"11,915",0.32,"10,228",0.1,"5,496",-0.1,,"13,115",0.13,"11,428",-0.13,"6,696",-0.41,,"14,915",-0.11,"13,468",-0.37,"8,256",-0.83
EZA_Revenge Technology Android #14 & #15,Extreme,PHY,,"10,063",-0.27,"10,388",0.16,"4,793",-0.52,,"11,263",-0.43,"11,588",-0.07,"5,993",-0.79,,"13,303",-0.56,"13,388",-0.4,"7,553",-1.15
EZA_Comrade in the Pursuit of Dreams Pinich,Super,AGL,,"10,703",-0.07,"9,758",-0.09,"4,737",-0.55,,"11,903",-0.24,"10,958",-0.31,"5,937",-0.82,,"13,463",-0.51,"12,758",-0.61,"7,977",-0.96
EZA_In the Name of Justice Great Saiyaman 2/1,Super,TEQ,,"11,089",0.05,"10,488",0.2,"5,158",-0.3,,"12,289",-0.12,"11,688",-0.03,"6,358",-0.59,,"13,849",-0.4,"13,728",-0.28,"8,158",-0.87
EZA_Watchers of the Cosmos Supreme Kai,Super,TEQ,,"8,814",-0.67,"10,679",0.28,"5,054",-0.36,,"10,014",-0.81,"11,879",0.04,"6,258",-0.65,,"11,574",-1.04,"13,919",-0.22,"8,054",-0.92
EZA_Brave Pair Gohan (Teen) & Videl,Super,INT,,"9,126",-0.57,"10,221",0.1,"5,470",-0.11,,"10,326",-0.72,"11,421",-0.13,"6,670",-0.42,,"12,126",-0.88,"13,221",-0.46,"8,470",-0.73
EZA_Space-Time Adventurer Tekka,Super,PHY,,"11,194",0.09,"9,470",-0.21,"4,832",-0.49,,"12,394",-0.09,"10,670",-0.41,"6,032",-0.77,,"14,434",-0.24,"12,470",-0.71,"7,592",-1.13
EZA_Astounding Fusion Technique Yamhan,Super,PHY,,"11,458",0.17,"9,510",-0.19,"5,039",-0.37,,"12,658",-0.01,"10,710",-0.4,"6,239",-0.66,,"14,698",-0.17,"12,510",-0.69,"7,799",-1.04
EZA_Super Power Behind the Mask Mighty Mask,Super,TEQ,,"14,360",1.09,"10,726",0.3,"6,002",0.2,,"15,560",0.86,"11,926",0.06,"7,202",-0.13,,"17,120",0.5,"13,966",-0.2,"9,002",-0.48
EZA_Matrimonial Grand Adbenture Goku & Chi-Chi,Super,AGL,,"7,457",-1.1,"8,876",-0.44,"4,467",-0.71,,"8,657",-1.22,"10,076",-0.64,"5,667",-0.97,,"10,217",-1.41,"11,876",-0.91,"7,707",-1.08
EZA_Matrimonial Bond Vegeta & Bulma,Super,PHY,,"7,135",-1.2,"9,069",-0.37,"4,385",-0.76,,"8,335",-1.32,"10,269",-0.57,"5,585",-1.02,,"10,375",-1.37,"12,069",-0.84,"7,145",-1.34
EZA_Infinite Power Borgos,Super,AGL,,"6,893",-1.27,"9,295",-0.28,"4,225",-0.85,,"8,493",-1.27,"10,895",-0.33,"5,825",-0.89,,"10,893",-1.22,"13,295",-0.43,"8,225",-0.84
EZA_Cunning Moves Fasha,Super,INT,,"6,651",-1.35,"8,972",-0.41,"4,749",-0.54,,"8,251",-1.34,"10,572",-0.45,"6,349",-0.6,,"10,651",-1.29,"12,972",-0.54,"8,749",-0.6
EZA_Treasured Battle Device Android #16,Extreme,INT,,"14,360",1.09,"10,678",0.28,"5,560",-0.06,,"15,560",0.86,"11,878",0.04,"6,760",-0.37,,"17,360",0.57,"13,678",-0.3,"8,560",-0.69
EZA_Total Invasion Tora,Super,TEQ,,"7,941",-0.94,"9,038",-0.38,"4,023",-0.97,,"9,541",-0.95,"10,638",-0.43,"5,623",-1,,"11,941",-0.93,"13,038",-0.52,"8,023",-0.93
EZA_Ruffian's Strike Shugesh,Super,PHY,,"7,699",-1.02,"9,102",-0.35,"4,063",-0.95,,"9,299",-1.03,"10,702",-0.4,"5,663",-0.97,,"11,699",-1,"13,102",-0.5,"8,063",-0.92
EZA_Battle-Hardened Hero Bardock,Super,STR,,"6,788",-1.31,"10,094",0.05,"5,886",0.13,,"8,388",-1.3,"11,694",-0.03,"7,486",0.02,,"10,788",-1.25,"14,094",-0.16,"9,886",-0.07
EZA_Formidable Reputation Vegeta (Kid),Extreme,AGL,,"13,730",0.89,"11,283",0.52,"5,121",-0.32,,"14,930",0.67,"12,483",0.27,"6,321",-0.61,,"16,490",0.33,"14,283",-0.1,"8,361",-0.78
EZA_Sibling Reunion Tarble,Super,AGL,,"11,798",0.28,"9,734",-0.1,"6,348",0.41,,"12,998",0.09,"10,934",-0.31,"7,548",0.06,,"14,558",-0.21,"12,734",-0.62,"9,588",-0.21
EZA_Unstoppable Combo Gotenks,Super,INT,,"10,879",-0.01,"10,513",0.21,"5,832",0.1,,"12,079",-0.19,"11,713",-0.02,"7,032",-0.22,,"13,879",-0.4,"13,513",-0.36,"8,832",-0.56
EZA_Evil-Slashing Blade Trunks (Teen),Super,STR,,"14,360",1.09,"9,872",-0.04,"6,569",0.54,,"15,560",0.86,"11,072",-0.26,"7,769",0.18,,"17,360",0.57,"13,112",-0.49,"9,329",-0.33
EZA_Ultimate Power-Up Ultimate Gohan,Super,INT,,"8,188",-0.86,"10,345",0.15,"5,782",0.07,,"9,388",-1,"11,545",-0.08,"6,982",-0.25,,"11,188",-1.14,"13,345",-0.41,"8,782",-0.58
EZA_From Father to Son Goten (Kid),Super,STR,,"7,981",-0.93,"10,637",0.26,"5,522",-0.08,,"9,181",-1.06,"11,837",0.03,"6,722",-0.39,,"10,981",-1.2,"13,877",-0.23,"8,282",-0.81
EZA_Passing the Mantle Goku (Angel),Super,PHY,,"8,605",-0.73,"10,512",0.21,"5,366",-0.17,,"9,805",-0.87,"11,712",-0.02,"6,566",-0.48,,"11,845",-0.96,"13,512",-0.36,"8,126",-0.89
EZA_Turbulent Revenge Mecha Freeza,Extreme,PHY,,"11,335",0.13,"11,183",0.48,"6,443",0.47,,"12,535",-0.05,"12,383",0.23,"7,643",0.11,,"14,575",-0.2,"14,183",-0.13,"9,203",-0.39
EZA_Dignity of a Clan King Cold,Extreme,PHY,,"15,494",1.45,"10,729",0.3,"4,931",-0.43,,"16,694",1.21,"11,929",0.06,"6,131",-0.72,,"18,734",0.95,"13,729",-0.28,"7,691",-1.09
EZA_Dastardly Last Resort Golden Freeza & Sorbet,Extreme,TEQ,,"10,545",-0.12,"9,923",-0.02,"6,163",0.3,,"11,745",-0.29,"11,123",-0.24,"7,363",-0.04,,"13,305",-0.55,"13,163",-0.47,"9,163",-0.41
EZA_An Invasion Bet on Primacy King Vegeta,Extreme,INT,,"13,604",0.85,"10,325",0.14,"6,380",0.43,,"14,804",0.64,"11,525",-0.09,"7,580",0.08,,"16,604",0.36,"13,325",-0.42,"9,380",-0.3
EZA_Off-the-Charts Combat Ability Super Saiyan Goku (GT),Super,TEQ,,"10,688",-0.07,"9,730",-0.1,"6,005",0.21,,"11,888",-0.24,"10,930",-0.32,"7,205",-0.13,,"13,448",-0.52,"12,970",-0.54,"9,005",-0.48
EZA_Hyper-Powerful Foe Hyper Meta-Rilldo,Extreme,STR,,"11,341",0.13,"9,470",-0.21,"6,005",0.21,,"12,541",-0.05,"10,670",-0.41,"7,205",-0.13,,"14,341",-0.27,"12,710",-0.63,"8,765",-0.59
EZA_Storied Strength Grandpa Gohan,Super,STR,,"12,847",0.61,"10,678",0.28,"6,317",0.39,,"14,047",0.41,"11,878",0.04,"7,517",0.04,,"15,847",0.15,"13,918",-0.22,"9,077",-0.45
EZA_Restoring Our Clan's Reputation Cooler,Extreme,TEQ,,"10,168",-0.24,"10,596",0.25,"4,481",-0.7,,"11,368",-0.4,"11,796",0.01,"5,681",-0.96,,"12,928",-0.66,"13,836",-0.25,"7,481",-1.19
EZA_Fighter of the Mechanical Planet Metal Cooler,Extreme,STR,,"9,959",-0.3,"9,929",-0.02,"5,419",-0.14,,"11,159",-0.47,"11,129",-0.24,"6,619",-0.45,,"12,959",-0.65,"13,169",-0.47,"8,179",-0.86
EZA_Courage to Confront Evil Gohan (Kid)/Goku,Super,PHY,,"10,272",-0.2,"10,345",0.15,"4,741",-0.55,,"11,472",-0.37,"11,545",-0.08,"5,941",-0.82,,"13,512",-0.5,"13,345",-0.41,"7,501",-1.18
EZA_Demonic Fighter of Steel Metal Cooler [AGL],Extreme,AGL,,"9,854",-0.34,"10,097",0.05,"5,262",-0.24,,"11,054",-0.5,"11,297",-0.18,"6,462",-0.54,,"12,614",-0.75,"13,097",-0.5,"8,502",-0.71
EZA_Demonic Fighter of Steel Metal Cooler [TEQ],Extreme,TEQ,,"9,126",-0.57,"9,347",-0.26,"6,563",0.54,,"10,326",-0.72,"10,547",-0.46,"7,763",0.18,,"11,886",-0.95,"12,587",-0.67,"9,563",-0.22
EZA_Demonic Fighter of Steel Metal Cooler [INT],Extreme,INT,,"9,126",-0.57,"9,638",-0.14,"6,200",0.32,,"10,326",-0.72,"10,838",-0.35,"7,400",-0.02,,"12,126",-0.88,"12,638",-0.65,"9,200",-0.39
EZA_Demonic Fighter of Steel Metal Cooler [STR],Extreme,STR,,"9,126",-0.57,"10,097",0.05,"5,626",-0.02,,"10,326",-0.72,"11,297",-0.18,"6,826",-0.34,,"12,126",-0.88,"13,337",-0.42,"8,386",-0.77
EZA_Demonic Fighter of Steel Metal Cooler [PHY],Extreme,PHY,,"10,376",-0.17,"10,012",0.01,"5,106",-0.33,,"11,576",-0.34,"11,212",-0.21,"6,306",-0.62,,"13,616",-0.47,"13,012",-0.53,"7,866",-1.01
EZA_Passion for Peace Great Saiyaman,Super,AGL,,"12,187",0.4,"11,072",0.44,"5,690",0.02,,"13,387",0.21,"12,272",0.19,"6,890",-0.3,,"14,947",-0.1,"14,072",-0.17,"8,930",-0.51
EZA_Back on the Front Line Krillin,Super,TEQ,,"11,818",0.29,"10,285",0.12,"6,858",0.71,,"13,018",0.1,"11,485",-0.11,"8,058",0.34,,"14,578",-0.2,"13,525",-0.35,"9,858",-0.08
EZA_Strike From on High Dabura,Extreme,INT,,"13,415",0.79,"10,088",0.04,"6,306",0.39,,"14,615",0.58,"11,288",-0.18,"7,506",0.04,,"16,415",0.31,"13,088",-0.5,"9,306",-0.34
EZA_Max Power Technique Master Roshi (Max Power),Super,STR,,"12,064",0.36,"11,415",0.58,"5,321",-0.2,,"13,264",0.17,"12,615",0.32,"6,521",-0.5,,"15,064",-0.07,"14,655",0.03,"8,081",-0.91
EZA_Diabolical Strike Nappa,Extreme,PHY,,"12,924",0.64,"10,137",0.06,"6,489",0.49,,"14,124",0.43,"11,337",-0.16,"7,689",0.14,,"16,164",0.24,"13,137",-0.48,"9,249",-0.37
EZA_Blazing Gale Paikuhan,Super,AGL,,"13,226",0.73,"10,023",0.02,"6,947",0.77,,"14,426",0.52,"11,223",-0.2,"8,147",0.39,,"15,986",0.19,"13,023",-0.52,"10,187",0.07
EZA_Unusual Encounter and Mission Hacchan & Android #17,Super,PHY,,"12,973",0.65,"9,868",-0.05,"4,992",-0.4,,"14,173",0.45,"11,068",-0.26,"6,192",-0.68,,"16,213",0.25,"12,868",-0.57,"7,752",-1.06
EZA_Unstoppable Evolution Ahms (3rd Form),Extreme,AGL,,"9,751",-0.37,"11,054",0.43,"4,116",-0.92,,"10,951",-0.53,"12,254",0.19,"5,316",-1.16,,"12,511",-0.78,"14,054",-0.18,"7,356",-1.24
EZA_Evil Genius Demon God Demon God Salsa,Extreme,TEQ,,"11,001",0.03,"8,843",-0.46,"5,782",0.07,,"12,201",-0.15,"10,043",-0.65,"6,982",-0.25,,"13,761",-0.43,"12,083",-0.84,"8,782",-0.58
EZA_World-Saving Hero Great Saiyaman 4,Super,STR,,"9,021",-0.6,"10,845",0.35,"4,741",-0.55,,"10,221",-0.75,"12,045",0.11,"5,941",-0.82,,"12,021",-0.91,"14,085",-0.16,"7,501",-1.18
EZA_Unleashed Saiyan Cumber,Extreme,STR,,"7,772",-1,"10,930",0.38,"5,262",-0.24,,"8,972",-1.13,"12,130",0.14,"6,462",-0.54,,"10,772",-1.26,"14,170",-0.14,"8,022",-0.93
EZA_Freezing Sorcery Demon Goddess Putine,Extreme,PHY,,"10,585",-0.11,"9,263",-0.29,"5,939",0.17,,"11,785",-0.28,"10,463",-0.49,"7,139",-0.17,,"13,825",-0.41,"12,263",-0.78,"8,699",-0.62
EZA_Burgeoning Strength Super Saiyan 3 Goku (Angel),Super,PHY,,"13,104",0.69,"9,840",-0.06,"6,221",0.33,,"14,304",0.49,"11,040",-0.27,"7,421",-0.01,,"16,344",0.29,"12,840",-0.58,"8,981",-0.49
EZA_Well-Aimed Strike Tien,Super,AGL,,"12,722",0.57,"10,779",0.32,"6,255",0.35,,"13,922",0.37,"11,979",0.08,"7,455",0.01,,"15,482",0.05,"13,779",-0.27,"9,495",-0.25
EZA_Full Power Transformatino Super Saiyan Gohan (Teen),Super,AGL,,"9,334",-0.5,"10,471",0.2,"5,054",-0.36,,"10,534",-0.65,"11,671",-0.04,"6,254",-0.65,,"12,094",-0.89,"13,471",-0.37,"8,294",-0.81
EZA_Saiyan's Last Stand Bardock,Super,AGL,,"12,684",0.56,"10,159",0.07,"5,827",0.1,,"14,684",0.6,"12,159",0.15,"7,827",0.21,,"17,284",0.55,"15,159",0.2,"11,227",0.55
"EZA_Total Might, Full Power Super Saiyan Goku",Super,TEQ,,"10,839",-0.02,"9,474",-0.2,"6,127",0.28,,"12,839",0.04,"11,474",-0.11,"8,127",0.38,,"15,439",0.04,"14,874",0.1,"11,127",0.51
EZA_Full-Power Collision Super Saiyan 2 Gohan (Youth),Super,TEQ,,"12,923",0.63,"11,211",0.49,"4,394",-0.75,,"14,923",0.67,"13,211",0.55,"6,394",-0.57,,"17,523",0.62,"16,611",0.68,"9,394",-0.3
Endless Challenge Goku (Youth),Super,STR,,"14,384",1.1,"10,083",0.04,"6,411",0.45,,"15,584",0.87,"11,283",-0.18,"7,611",0.09,,"17,384",0.58,"13,323",-0.42,"9,171",-0.4
EZA_Glorious Strike Hercule,Super,PHY,,"10,313",-0.19,"10,355",0.15,"5,713",0.03,,"11,513",-0.36,"11,555",-0.08,"6,913",-0.29,,"13,553",-0.49,"13,355",-0.41,"8,473",-0.73
EZA_Mission Complete Trunks (Kid) & Goten (Kid) & Marron,Super,PHY,,"7,295",-1.15,"9,262",-0.29,"4,063",-0.95,,"8,895",-1.15,"10,862",-0.34,"5,663",-0.97,,"11,295",-1.11,"13,262",-0.44,"8,063",-0.92
EZA_Expert in Justice Kahseral (Pride Troopers),Super,PHY,,"10,213",-0.22,"10,766",0.32,"5,275",-0.23,,"11,413",-0.39,"11,966",0.08,"6,475",-0.53,,"13,453",-0.51,"13,766",-0.27,"8,035",-0.93
EZA_Hard Work Done by a Chunky Body Gotenks (Failure) A,Super,PHY,,"14,738",1.21,"9,721",-0.1,"6,569",0.54,,"15,938",0.98,"10,921",-0.32,"7,769",0.18,,"17,978",0.74,"12,721",-0.62,"9,329",-0.33
EZA_Efforts Made with an Exhausted Body Gotenks (Failure) B,Super,TEQ,,"11,083",0.05,"9,670",-0.13,"8,460",1.67,,"12,283",-0.13,"10,870",-0.34,"9,660",1.22,,"13,843",-0.41,"12,910",-0.56,"11,460",0.66
